ID,Close Date,Created Date,New Logo,Type,Stage,Billing Plan, ACV , Discount Amount , Amount , Net Amount 
824,4/6/16,1/26/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,18700,9900,66000,56100
825,4/20/16,1/21/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
826,3/29/16,2/16/16,0,Direct - OnPremise Product,Closed Lost,,       ,,       ,       
827,4/26/16,2/16/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
828,3/31/16,2/16/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
829,5/12/16,2/17/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,31850,51450,147000,95550
830,6/30/16,2/23/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
831,3/24/16,3/3/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22400,28800,96000,67200
832,3/31/16,3/4/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,18000,4000,22000,18000
833,3/17/16,3/4/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
834,3/31/16,3/15/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,15426,33574,49000,15426
835,4/25/16,3/16/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
836,3/31/16,3/25/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,32000,,32000,32000
837,3/31/16,3/29/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16632,24420,74316,49896
838,4/21/16,3/30/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
839,4/25/16,4/7/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
840,4/27/16,4/19/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
841,5/16/16,4/19/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
842,5/17/16,4/20/16,0,Partner - OnPremise Product,Closed Lost,,       ,,       ,       
843,5/12/16,4/20/16,0,Direct - OnPremise Product,Closed Lost,,       ,,       ,       
844,5/26/16,5/2/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,14300,23100,66000,42900
845,5/6/16,5/4/16,0,Direct - OnPremise Product,Closed Lost,,       ,,       ,       
846,5/26/16,5/11/16,1,Partner - OnPremise Product,Closed Won - Not Paid,2 Years,15000,14000,44000,30000
847,6/9/16,5/13/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,15840,18480,66000,47520
848,3/31/17,12/28/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,114496,29250,225000,195750
849,6/6/17,1/13/17,1,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
850,5/17/17,1/23/17,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
851,5/17/17,2/6/17,1,Direct - OnPremise Product,Closed Lost,3 Years,39200,29400,147000,117600
852,4/13/17,2/9/17,0,Partner - OnPremise Product,Closed Lost,Annual,40000,,40000,40000
853,5/22/17,2/10/17,1,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
854,4/10/17,2/16/17,1,Direct - OnPremise Product,Closed Won - Paid,Annual,28800,3200,32000,28800
855,5/3/17,6/22/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
856,8/8/17,5/10/17,1,Partner - Cloud Product,Closed Lost,3 Years,62200,       ,96000,96000
857,8/15/17,5/11/17,1,Partner - OnPremise Product,Closed Won - Not Paid,Annual,75000,,75000,75000
858,7/27/17,5/31/17,1,Partner - Cloud Product,Closed Lost,Annual,41000,       ,22000,22000
859,8/24/17,6/1/17,1,Direct - Cloud Product,Closed Lost,3 Years,62200,       ,96000,96000
860,6/28/17,6/12/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,44100,6600,66000,59400
861,9/7/17,2/23/17,1,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
862,4/11/17,3/16/17,1,Direct - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
863,6/12/17,3/21/17,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,34300,,102900,102900
864,8/31/17,4/6/17,1,Partner - Cloud Product,Closed Lost,3 Years,74500,       ,102900,102900
865,6/23/17,4/11/17,1,Direct - Cloud Product,Closed Lost,3 Years,419000,       ,750000,750000
866,5/19/17,4/17/17,1,Direct - OnPremise Product,Closed Lost,Annual,35000,,35000,35000
867,5/25/17,4/24/17,1,Direct - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
868,8/31/17,6/23/17,1,Partner - Cloud Product,Closed Lost,3 Years,229700,       ,262500,262500
869,8/23/17,6/26/17,1,Partner - Cloud Product,Closed Lost,3 Years,118700,       ,169500,169500
870,8/9/17,7/11/17,1,Direct - Cloud Product,Closed Lost,3 Years,43000,       ,66000,66000
871,9/5/17,8/7/17,1,Partner - Cloud Product,Closed Lost,3 Years,41000,       ,66000,66000
872,1/4/16,11/23/15,1,Direct - OnPremise Product,Closed Won - Paid,3 Months,4475,,4475,4475
873,1/23/17,1/4/17,0,Direct - Cloud Product,Closed Lost,,,,       ,       
874,4/7/16,3/3/16,0,Partner - OnPremise Product,Closed Lost,,75000,,75000,75000
875,7/28/17,5/5/17,1,Partner - Cloud Product,Closed - Lost,,24000,       ,24000,24000
876,7/5/17,5/25/17,1,Partner - OnPremise Product,Closed Lost,3 Years,28800,9600,96000,86400
877,8/16/17,6/2/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,23360,25920,96000,70080
878,8/14/17,6/5/17,1,Direct - OnPremise Product,Closed Lost,3 Years,19800,6600,66000,59400
879,7/17/17,2/24/17,1,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
880,7/17/17,3/16/17,1,Direct - OnPremise Product,Closed Lost,3 Years,19800,6600,66000,59400
881,3/29/17,3/21/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,28800,9600,96000,86400
882,3/30/17,3/22/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17820,12540,66000,53460
883,6/9/17,4/12/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,51200,19200,96000,76800
884,7/17/17,4/13/17,1,Partner - OnPremise Product,Closed Lost,3 Years,19800,6600,66000,59400
885,6/2/17,4/18/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,41000,       ,66000,66000
886,8/24/17,4/25/17,1,Direct - OnPremise Product,Closed Lost,3 Years,14700,4900,49000,44100
887,5/12/17,4/25/17,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,19800,6600,66000,59400
888,7/17/17,5/4/17,1,Partner - OnPremise Product,Closed Lost,2 Years,19800,4400,44000,39600
889,8/14/17,6/15/17,1,Partner - OnPremise Product,Closed Lost,3 Years,6600,2200,22000,19800
890,8/2/17,8/2/17,1,Direct - Cloud Product,Closed Won - Not Paid,3 Years,46750,14400,96000,81600
891,3/31/17,11/4/16,1,Partner - Cloud Product,Closed Won - Paid,Annual,62988,42270,66000,23730
892,7/17/17,11/7/16,1,Partner - Cloud Product,Closed Lost,3 Years,73950,22050,147000,124950
893,12/22/16,11/8/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
894,12/27/16,11/17/16,0,Partner - OnPremise Product,Closed Lost,,40000,,40000,40000
895,12/2/16,11/17/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,23040,26880,96000,69120
896,12/8/16,11/29/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
897,12/13/16,11/30/16,0,Partner - OnPremise Product,Closed Lost,,50000,,50000,50000
898,7/17/17,12/2/16,1,Partner - Cloud Product,Closed Lost,3 Years,10667,       ,32000,32000
899,12/15/16,12/5/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
900,3/17/17,12/6/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,35462,6600,66000,59400
901,1/19/17,12/7/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
902,12/27/16,12/8/16,0,Partner - OnPremise Product,Closed Lost,,50000,,50000,50000
903,1/19/17,12/13/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
904,7/19/17,12/14/16,1,Partner - OnPremise Product,Closed Lost,Annual,50000,,50000,50000
905,1/19/17,12/15/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
906,1/19/17,12/15/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
907,2/2/17,12/19/16,0,Partner - OnPremise Product,Closed Lost,Annual,18700,3300,22000,18700
908,1/19/17,12/20/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
909,1/24/17,12/21/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
910,1/19/17,12/22/16,0,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
911,5/4/17,12/22/16,0,Partner - OnPremise Product,Closed Lost,3 Years,22000,,66000,66000
912,7/17/17,1/10/17,1,Partner - OnPremise Product,Closed Lost,Annual,32000,       ,32000,32000
913,3/23/17,1/17/17,1,Partner - Cloud Product,Closed Won - Paid,4 Years,43473,32000,137200,105200
914,4/5/17,1/27/17,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
915,2/6/17,2/1/17,1,Partner - Cloud Product,Closed Lost,3 Years,35462,6600,66000,59400
916,7/17/17,2/2/17,1,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
917,7/17/17,2/8/17,1,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
918,9/30/16,3/21/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,18700,9900,66000,56100
919,2/1/17,3/21/16,0,Partner - OnPremise Product,Closed Lost,Annual,66000,,66000,66000
920,5/19/16,5/19/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,16060,5940,22000,16060
921,11/14/16,5/20/16,0,Direct - OnPremise Product,Closed Lost,,40000,,40000,40000
922,11/14/16,5/20/16,0,Direct - OnPremise Product,Closed Lost,,40000,,40000,40000
923,11/14/16,5/21/16,0,Direct - OnPremise Product,Closed Lost,3 Years,18560,40320,96000,55680
924,11/14/16,5/23/16,0,Direct - OnPremise Product,Closed Lost,,50000,,50000,50000
925,7/5/16,6/2/16,0,Direct - OnPremise Product,Closed Lost,,50000,,50000,50000
926,6/17/16,6/9/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,51241,51450,147000,95550
927,11/14/16,6/13/16,0,Partner - OnPremise Product,Closed Lost,,52800,13200,66000,52800
928,7/6/16,4/21/16,0,Direct - OnPremise Product,Closed Lost,,40000,,40000,40000
929,11/14/16,4/26/16,0,Direct - OnPremise Product,Closed Lost,,74400,-14400,60000,74400
930,7/5/16,5/2/16,0,Direct - OnPremise Product,Closed Lost,,60000,,60000,60000
931,5/19/16,5/10/16,1,Partner - OnPremise Product,Closed Won - Paid,4 Years,16500,62000,128000,66000
932,6/22/16,5/10/16,0,Direct - OnPremise Product,Closed Lost,,13200,52800,66000,13200
933,1/4/17,5/13/16,0,Direct - OnPremise Product,Closed Lost,,57600,19200,76800,57600
934,1/19/17,8/29/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
935,1/4/17,9/1/16,0,Partner - OnPremise Product,Closed Lost,,40000,,40000,40000
936,1/4/17,9/7/16,0,Partner - OnPremise Product,Closed Lost,,40000,,40000,40000
937,1/4/17,9/8/16,0,Direct - OnPremise Product,Closed Lost,,50000,,50000,50000
938,1/19/17,9/12/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
939,1/19/17,9/15/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
940,1/4/17,9/15/16,0,Partner - OnPremise Product,Closed Lost,,40000,,40000,40000
941,7/17/17,9/16/16,1,Direct - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
942,8/14/17,9/19/16,1,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
943,11/14/16,9/19/16,0,Direct - Cloud Product,Closed Lost,,,,40000,40000
944,11/14/16,6/15/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
945,2/24/17,6/16/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,30852,17820,66000,48180
946,6/27/16,6/23/16,0,Partner - Cloud Product,Closed Lost,,101910,16500,66000,49500
947,7/25/16,6/23/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,28800,6400,64000,57600
948,7/13/16,6/23/16,0,Direct - OnPremise Product,Closed Lost,,60000,,60000,60000
949,6/29/16,6/29/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
950,12/2/16,6/29/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,23680,24960,96000,71040
951,11/14/16,6/29/16,0,Direct - OnPremise Product,Closed Lost,,60000,,60000,60000
952,7/17/17,7/5/16,1,Direct - OnPremise Product,Closed Lost,Annual,35200,,35200,35200
953,1/24/17,7/5/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
954,8/22/16,7/11/16,0,Direct - Cloud Product,Closed Lost,3 Years,38768,6600,66000,59400
955,1/19/17,7/13/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
956,1/4/17,7/14/16,0,Direct - OnPremise Product,Closed Lost,,40000,,40000,40000
957,8/8/16,7/21/16,0,Direct - OnPremise Product,Closed Lost,,60000,,60000,60000
958,8/25/16,7/27/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
959,2/21/17,7/28/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17050,14850,66000,51150
960,1/4/17,7/28/16,0,Direct - OnPremise Product,Closed Lost,,117600,,117600,117600
961,1/4/17,8/1/16,0,Direct - OnPremise Product,Closed Lost,,100000,,100000,100000
962,8/10/16,8/3/16,0,Direct - OnPremise Product,Closed Lost,,80000,,80000,80000
963,1/4/17,8/4/16,0,Partner - OnPremise Product,Closed Lost,,50000,,50000,50000
964,1/4/17,8/12/16,0,Partner - OnPremise Product,Closed Lost,,50000,,50000,50000
965,1/19/17,8/15/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
966,1/4/17,8/16/16,0,Direct - OnPremise Product,Closed Lost,,50000,,50000,50000
967,9/2/16,8/22/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,19140,2860,22000,19140
968,11/14/16,8/24/16,0,Direct - OnPremise Product,Closed Lost,,50000,,50000,50000
969,1/19/17,9/21/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
970,1/4/17,9/22/16,0,Partner - OnPremise Product,Closed Lost,,40000,,40000,40000
971,1/4/17,9/22/16,0,Direct - OnPremise Product,Closed Lost,,40000,,40000,40000
972,11/14/16,9/27/16,0,Partner - OnPremise Product,Closed Lost,Annual,20900,1100,22000,20900
973,1/4/17,9/29/16,0,Direct - OnPremise Product,Closed Lost,,48444,17556,66000,48444
974,1/19/17,10/4/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
975,1/4/17,10/5/16,0,Partner - OnPremise Product,Closed Lost,,40000,,40000,40000
976,1/18/17,10/5/16,0,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
977,11/14/16,10/10/16,0,Partner - OnPremise Product,Closed Lost,,50000,,50000,50000
978,3/3/17,10/21/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,35754,9900,66000,56100
979,1/19/17,10/23/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,       ,22000,22000
980,11/18/16,10/23/16,0,Direct - Cloud Product,Closed Lost,3 Years,35764,9900,66000,56100
981,11/23/16,10/26/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,24000,24000,96000,72000
982,12/27/16,10/28/16,0,Partner - OnPremise Product,Closed Lost,,80000,,80000,80000
983,7/28/17,5/17/17,1,Direct - OnPremise Product,Closed Won - Paid,Annual,22000,,22000,22000
984,7/26/17,5/18/17,1,Direct - Cloud Product,Closed Lost,3 Years,41000,       ,66000,66000
985,8/23/15,8/20/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
986,9/3/15,8/25/15,0,Direct - OnPremise Product,Closed Lost,,31690,,31690,31690
987,10/9/15,9/23/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,33407,8715,108936,100221
988,4/27/16,2/16/16,0,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
989,7/5/16,1/5/16,0,Partner - OnPremise Product,Closed Lost,,40000,,40000,40000
990,6/27/16,6/13/16,0,Direct - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
991,11/14/16,7/18/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
992,6/29/17,6/8/17,1,Direct - Cloud Product,Closed Won - Paid,3 Years,187750,221250,442500,221250
993,6/12/17,2/26/17,1,Direct - Cloud Product,Closed Lost,Annual,49000,       ,49000,49000
994,5/31/17,2/27/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,250785,187725,375000,187275
995,5/30/17,2/27/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,44590,13230,147000,133770
996,4/18/17,3/6/17,1,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
997,8/9/17,3/8/17,1,Direct - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
998,6/12/17,4/12/17,1,Direct - OnPremise Product,Closed Lost,Annual,57000,,57000,57000
999,6/15/17,4/27/17,1,Partner - Cloud Product,Closed Won - Paid,Annual,110120,28500,75000,46500
1000,3/27/17,11/8/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,49000,,147000,147000
1001,2/7/17,12/6/16,0,Partner - OnPremise Product,Closed Lost,3 Years,70000,,210000,210000
1002,6/16/17,12/12/16,1,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,145000,315000,750000,435000
1003,2/13/17,12/21/16,0,Partner - OnPremise Product,Closed Lost,3 Years,75000,,225000,225000
1004,2/23/17,1/11/17,0,Direct - OnPremise Product,Closed Lost,Annual,250000,,250000,250000
1005,5/16/17,1/24/17,1,Direct - OnPremise Product,Closed Lost,Annual,119000,,119000,119000
1006,5/8/17,2/3/17,1,Partner - OnPremise Product,Closed Lost,Annual,62500,,62500,62500
1007,1/29/16,12/4/15,0,Direct - OnPremise Product,Closed Lost,,500000,,500000,500000
1008,2/1/16,9/28/15,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22000,,66000,66000
1009,3/24/16,11/4/15,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,130500,48750,440250,391500
1010,3/31/16,12/11/15,1,Partner - OnPremise Product,Closed Won - Paid,Annual,52800,,52800,52800
1011,12/22/16,12/15/15,0,Direct - OnPremise Product,Closed Lost,,147000,,147000,147000
1012,3/31/16,12/21/15,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,35712,8064,115200,107136
1013,1/14/16,12/23/15,0,Direct - OnPremise Product,Closed Lost,,200000,,200000,200000
1014,8/28/17,1/27/16,1,Partner - OnPremise Product,Closed Lost,Annual,60000,,60000,60000
1015,3/8/16,2/2/16,0,Direct - OnPremise Product,Closed Lost,,100000,,100000,100000
1016,4/9/16,1/29/16,0,Direct - OnPremise Product,Closed Lost,,75000,,75000,75000
1017,3/20/16,2/9/16,0,Direct - OnPremise Product,Closed Lost,,50000,,50000,50000
1018,8/3/16,1/25/16,0,Partner - Cloud Product,Closed Lost,3 Years,,,60000,60000
1019,2/10/16,2/1/16,1,Direct - OnPremise Product,Closed Won - Paid,Annual,28800,3200,32000,28800
1020,3/20/16,2/22/16,0,Partner - OnPremise Product,Closed Lost,,50000,,50000,50000
1021,4/12/16,2/26/16,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
1022,6/24/16,3/8/16,1,Partner - OnPremise Product,Closed Won - Not Paid,4 Years,92500,630000,1000000,370000
1023,9/20/16,3/15/16,0,Partner - OnPremise Product,Closed Lost,,100000,,100000,100000
1024,3/8/17,3/29/16,0,Partner - Cloud Product,Closed Lost,3 Years,68187,,204562,204562
1025,12/16/16,3/29/16,1,Partner - OnPremise Product,Closed Won - Paid,,115200,,115200,115200
1026,5/20/16,3/29/16,0,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
1027,6/29/16,3/29/16,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,42296,24000,96000,72000
1028,12/22/16,3/30/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,102081,,204162,204162
1029,2/23/17,6/1/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,65583,50751,247500,196749
1030,8/15/16,6/3/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,152272,105000,375000,270000
1031,2/10/17,4/1/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,44100,14700,147000,132300
1032,7/7/16,4/4/16,0,Partner - OnPremise Product,Closed Lost,,75000,,75000,75000
1033,8/29/16,4/9/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,32000,,32000,32000
1034,6/12/16,4/9/16,0,Direct - OnPremise Product,Closed Lost,,75000,,75000,75000
1035,5/12/16,4/18/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
1036,4/20/16,4/19/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,25600,19200,96000,76800
1037,8/9/16,4/29/16,0,Partner - Cloud Product,Closed Lost,3 Years,,,325000,325000
1038,5/25/16,5/6/16,0,Direct - OnPremise Product,Closed Lost,,75000,,75000,75000
1039,5/17/16,5/12/16,0,Direct - Cloud Product,Closed Lost,,,,32000,32000
1040,1/4/17,5/12/16,0,Partner - OnPremise Product,Closed Lost,3 Years,29333,,88000,88000
1041,6/17/16,5/13/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,28626,,85878,85878
1042,12/12/16,8/29/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,24000,24000,96000,72000
1043,9/20/16,9/6/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,49716,4359,103792,99433
1044,10/21/16,9/7/16,0,Direct - Cloud Product,Closed Lost,3 Years,79120,120498,225000,104502
1045,2/27/17,9/17/16,0,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
1046,9/14/16,7/5/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,86400,9600,96000,86400
1047,9/21/16,7/30/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
1048,10/11/16,8/7/16,1,Partner - OnPremise Product,Closed Won - Paid,4 Years,210000,,840000,840000
1049,3/17/17,8/7/16,0,Partner - OnPremise Product,Closed Lost,3 Years,49000,,147000,147000
1050,6/12/17,10/4/16,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
1051,3/28/17,10/5/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,187171,,375000,375000
1052,11/20/16,10/5/16,0,Partner - OnPremise Product,Closed Lost,,147000,,147000,147000
1053,4/4/17,10/5/16,0,Partner - OnPremise Product,Closed Lost,3 Years,75000,,225000,225000
1054,8/17/17,8/17/17,1,Partner - Cloud Product,Closed Lost,3 Years,66750,24750,225000,200250
1055,6/9/17,6/9/17,1,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
1056,8/18/17,6/9/17,1,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
1057,6/26/17,6/14/17,1,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
1058,8/24/17,6/23/17,1,Direct - Cloud Product,Closed Lost,Annual,41000,       ,22000,22000
1059,7/12/17,7/7/17,1,Direct - Cloud Product,Closed Lost,,41000,       ,22000,22000
1060,8/25/17,8/24/17,1,Direct - Cloud Product,Closed Lost,,23988,,23988,23988
1061,9/21/15,9/16/15,0,Direct - OnPremise Product,Closed Lost - Not Renewing,9 Months,13425,,13425,13425
1062,6/21/16,11/11/15,0,Direct - OnPremise Product,Closed Lost - Not Renewing,Annual,17900,5370,23270,17900
1063,3/20/17,3/2/17,1,Partner - OnPremise Product,Closed Won - Paid,Annual,58500,16500,75000,58500
1064,5/1/17,3/2/17,1,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
1065,5/10/17,3/7/17,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
1066,5/3/17,3/7/17,1,Partner - Cloud Product,Closed Lost,Annual,75000,       ,75000,75000
1067,5/3/17,3/7/17,1,Partner - Cloud Product,Closed Lost,Annual,32000,       ,32000,32000
1068,5/10/17,3/7/17,1,Partner - Cloud Product,Closed Lost,Annual,32000,       ,32000,32000
1069,5/1/17,3/21/17,1,Partner - Cloud Product,Closed Lost,Annual,164923,       ,164923,164923
1070,6/21/17,4/14/17,1,Partner - Cloud Product,Closed Lost,3 Years,148400,176250,375000,198750
1071,6/28/17,5/5/17,1,Partner - Cloud Product,Closed Lost,Annual,129500,       ,52500,52500
1072,7/24/17,6/14/17,1,Direct - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
1073,6/28/17,6/22/17,1,Partner - Cloud Product,Closed Lost,Annual,87000,       ,49000,49000
1074,8/1/17,6/23/17,1,Partner - Cloud Product,Closed Lost,Annual,41000,       ,22000,22000
1075,8/1/17,6/23/17,1,Direct - OnPremise Product,Closed Lost,3 Years,31500,130500,225000,94500
1076,7/5/17,7/5/17,1,Direct - Cloud Product,Closed Lost,,32000,,32000,32000
1077,7/20/17,7/7/17,1,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
1078,7/25/17,7/25/17,1,Direct - Cloud Product,Closed Lost,,32000,,32000,32000
1079,6/20/17,11/3/16,1,Direct - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
1080,1/18/17,11/16/16,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
1081,12/29/16,12/14/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
1082,12/30/16,12/16/16,1,Direct - Cloud Product,Closed Won - Paid,3 Years,72070,78750,225000,146250
1083,12/22/16,12/16/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,161234,395756,879458,483702
1084,4/14/17,12/16/16,0,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
1085,3/2/17,12/16/16,0,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
1086,12/31/16,12/19/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,70000,187500,397500,210000
1087,5/3/17,12/20/16,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
1088,5/10/17,12/21/16,1,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
1089,6/20/17,12/21/16,1,Partner - OnPremise Product,Closed Lost,Annual,125000,,125000,125000
1090,1/5/17,12/21/16,0,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
1091,1/18/17,12/21/16,0,Partner - OnPremise Product,Closed Lost,Annual,49000,,49000,49000
1092,2/22/17,12/22/16,0,Partner - OnPremise Product,Closed Lost,Annual,22000,,22000,22000
1093,2/16/17,1/6/17,0,Partner - OnPremise Product,Closed Lost,Annual,125000,,125000,125000
1094,4/5/17,1/12/17,0,Partner - Cloud Product,Closed Lost,3 Years,52000,,52000,52000
1095,3/1/17,1/13/17,1,Partner - Cloud Product,Closed Won - Paid,3 Years,106071,,225000,225000
1096,5/1/17,1/30/17,0,Partner - Cloud Product,Closed Lost,Annual,32000,       ,32000,32000
1097,4/19/17,1/30/17,0,Partner - Cloud Product,Closed Lost,Annual,250000,       ,250000,250000
1098,5/1/17,2/7/17,0,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
1099,8/15/17,2/8/17,1,Partner - Cloud Product,Closed Lost,Annual,75000,       ,75000,75000
