ID,Close Date,Created Date,New Logo,Type,Stage,Billing Plan, ACV , Discount Amount , Amount , Net Amount 
234,3/31/16,8/19/15,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,15000,21000,66000,45000
235,10/14/15,8/13/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
236,2/12/16,8/25/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
237,10/15/15,10/12/15,0,Direct - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
238,2/12/16,10/13/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
239,2/12/16,8/19/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
240,2/12/16,9/3/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
241,10/20/15,8/26/15,0,Partner - OnPremise Product,Closed Lost,3 Years,13425,13425,53700,40275
242,10/16/15,10/16/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
243,9/23/15,8/14/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,18582,18582,74328,55746
244,9/30/15,9/29/15,0,Direct - OnPremise Product,Closed Won - Paid,Annual,17005,895,17900,17005
245,9/30/15,9/25/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,13425,13425,53700,40275
246,2/12/16,10/28/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
247,11/3/15,8/4/15,0,Partner - OnPremise Product,Closed Lost,,31680,,31680,31680
248,9/30/15,9/30/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,15215,8055,53700,45645
249,11/16/15,11/10/15,0,Direct - OnPremise Product,Closed Won - Paid,Annual,17900,,17900,17900
250,9/10/15,9/3/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,13425,13425,53700,40275
251,2/12/16,10/28/15,0,Partner - OnPremise Product,Closed Lost,,17900,,17900,17900
252,12/14/15,9/14/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,15215,8055,53700,45645
253,7/5/16,11/5/15,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
254,6/22/16,11/4/15,1,Partner - OnPremise Product,Closed Won - Paid,5 Years,17600,72000,160000,88000
255,8/1/16,11/18/15,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
256,2/12/16,12/18/15,0,Direct - OnPremise Product,Closed Lost,,17900,,17900,17900
257,12/21/15,8/19/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,16110,21480,69810,48330
258,12/17/15,11/25/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,15215,24165,69810,45645
259,12/23/15,11/3/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,5370,23270,17900
260,12/28/15,12/28/15,0,Partner - OnPremise Product,Closed Won - Paid,2 Years,16110,14320,46540,32220
261,12/30/15,8/25/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,17900,5370,23270,17900
262,12/22/15,10/6/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,14320,26850,69810,42960
263,12/22/15,12/21/15,0,Direct - OnPremise Product,Closed Won - Paid,Annual,17900,5370,23270,17900
264,12/31/15,11/3/15,0,Direct - OnPremise Product,Closed Won - Paid,3 Years,14320,10740,53700,42960
265,12/31/15,10/27/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
266,12/31/15,8/7/15,0,Partner - OnPremise Product,Closed Won - Paid,Annual,35800,10740,46540,35800
267,12/30/15,11/10/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,14320,26850,69810,42960
268,12/30/15,11/6/15,0,Partner - OnPremise Product,Closed Won - Paid,3 Years,14320,26850,69810,42960
